Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Option 24,Option 25,Option 26,Option 27,Option 28,Option 29,Option 30,Option 31,Option 32,Option 33,Option 34,Option 35,Option 36,Option 37,Option 38,Option 39,Option 40,Option 41,Option 42,Option 43,Option 44,Option 45,Option 46,Option 47,Option 48,Option 49,Option 50,Option 51,Option 52,Option 53,Option 54,Option 55,Option 56,Option 57,Option 58,Option 59,Option 60,Option 61,Option 62,Option 63,Option 64,Option 65,Option 66,Option 67,Option 68,Option 69,Option 70,Option 71,Option 72,Option 73,Option 74,Option 75,Option 76,Option 77,Option 78,Option 79,Option 80,Option 81,Option 82,Option 83,Option 84,Option 85,Option 86,Option 87,Option 88,Option 89,Option 90,Option 91,Option 92,Option 93,Option 94,Option 95,Option 96,Option 97,Option 98,Option 99,Option 100,Option 101,Option 102,Option 103,Option 104,Option 105,Option 106,Option 107,Option 108,Option 109,Option 110,Option 111,Option 112,Option 113,Option 114,Option 115,Option 116,Option 117,Option 118,Option 119,Option 120,Option 121,Option 122,Option 123,Option 124,Option 125,Option 126,Option 127,Option 128,Option 129,Option 130,Option 131,Option 132,Option 133,Option 134,Option 135,Option 136,Option 137,Option 138,Option 139,Option 140,Option 141,Option 142,Option 143,Option 144,Option 145,Option 146,Option 147
HELLP синдром белгилари:,,"кўнгил айнаши, қусиш","ўнг қовурға ости оғриқ, сариқлик",Жигар ўлчамларининг катталашиши,Тромбоцитлар миқдорининг пасайиши,юқоридагиларнинг барчаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эклампсия белгилари бу:,тиришиш ва кома,тиришиш ва кома,альбуминурия ва шишлар,диарея,гипертензия,диурез пасайиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эклампсияда она ўлимининг сабаби:,мияга қон қуйилиши,мияга қон қуйилиши,буйрак етишмовчилиги,ўпка шиши,инфекция,мия шиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гипертензив ҳолатлар классификациясига кирмайди:,буйрак гипертензияси,буйрак гипертензияси,ҳомиладорлик билан индуцирланган гипертензия,Сурункали гипертензия (20 ҳафтагача),оғир преэклампсия,эклампсия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Енгил преэклампсияга қуйидагилан ташқари барчаси хос:,2+(г/л)гача бўлган протеинурия,ҳомиладорлик муддати 20 ҳафтадан кўп,4 соат оралиғида диагностик қон босимининг 90-100 мм.сим.уст.гача икки бора ортиши,2+(г/л)гача бўлган протеинурия,Оғир преэклампсиянинг бошқа белгилари йўқ,ҳар 4 соат оралиғида диагностик қон босимининг 90 мм.сим.уст.дан юқори даражага 2 бора ортиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Қуйидаги хасталикларда ҳомиладор ёлларга гепарин қўлланилади:,гипертензия фонида тлуентар етишмовчилик,гипертензия фонида тлуентар етишмовчилик,преэклампсияда,эклампсияда,Гипертензиянинг барча даражаларида,ҳамма жавоблар тўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оғир преэклампсия учун хос эмас:,ҳар 4 соатда диастоник қон босимининг 90-100 мм.сим.уст.гача 2 бора ортиши,ҳомиладорлик муддати 20 ҳафтадан юқори,ҳар 4 соатда диастоник қон босимининг 90-100 мм.сим.уст.гача 2 бора ортиши,3 г/л гача протеинурия,оғир преэклампсиянинг бошқа белгилари,Диастолик қон босимининг 4 соат оралиғида110 мм.сим.устдан юқори бўлиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аёл муддатига етган ҳомиладорлик билан туғруқнинг 2чи даврида туғруқхонага келди. Уйда эклампсия хуружи бўлган. ҳомила бошчаси чаноқ тубида. ҳомила юрак урушлари сони минутига 160 та. Кўрсатма:,Акушерлик қисқичларини қўйиш ва аёлни нейролептик ҳолатига киритиш.,Акушерлик қисқичларини қўйиш ва аёлни нейролептик ҳолатига киритиш.,ҳомила ваакум-экстракциясини қўллаш,аёлни нейролепсия ҳолатига киритиш,Краниотомия,ҳомила вакуум-экстракциясини қўллаш ва аёлни нейролепсия ҳолатига тушириш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ўткир ёғли гепатоз  аниқланганида врач тактикаси:,акушерлик ҳолатини аҳамиятга олган ҳолда тезкор туғруқ қабул қилиш,акушерлик ҳолатини аҳамиятга олган ҳолда тезкор туғруқ қабул қилиш,"Туғруққа тайёргарлик бошлаб, комплекс давом эттириш",Касмалликни консерватив даволашни давом эттириш,Дезинтоксикацион терапия ўтказиш,тезкор кесар кесиш операцияси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладоликнинг кечки муддатларида коагулопатия аниқлашнинг экспресс усули,,Прикроват тест,Этанолли тест,Протаминсульфат тести,В-нафталонли тест,ПТИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Магнезий сульфатнинг юклама дозаси оғир преэклампсияда қуйидагича дозада юборилади:,вена ичига 15 мл 5 мин. давомида,вена ичига 15 мл 5 мин. давомида,вена ичига  ва мушак орасига 10 мл.дан,Вена ичига 10 мл 5 мин. давомида ва мушак орасига 10 млдан ҳар 1 ён бошга,10 млдан мушак орасига ҳар 1 ён бошга,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Енгил преэклампсияда тактика:,"Артериал босимни кузатиш, қон ва пешоб анализи, ҳомила ахволини назорат қилиш","Артериал босимни кузатиш, қон ва пешоб анализи, ҳомила ахволини назорат қилиш",Магнезий сульфатни вена ичига 15 мл 5 дақиқа давомида юбориш; ҳар 1 ёнбошга 10 млдан магнезий сульфат,Седатив препаратлар ва транквилизаторлар,ҳомиладорликни тўхтатиш,в/и ва м/о 10 млдан магнезий сульфат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
қуйидаги диастолик артериал қон босимида оғир преэклампсияда артериал босимни тушириш учун антигипертензив препаратлар ишлатилади:,110 мм.сим.уст. ва юқори,110 мм.сим.уст. ва юқори,90 мм.сим.уст. ва юқори,100 ва 110 мм.сим.уст. оралиғи,120 мм.сим.уст. ва юқори,90 мм.сим.уст. дан юқори,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эклампсия хуружи қуйидаги ҳолларда ривожланиши мумкин:,"ҳомиладорлик даврида ва туғруқ пайтида, туғруқдан сўнгги даврда","ҳомиладорлик даврида ва туғруқ пайтида, туғруқдан сўнгги даврда",ҳомиладорлик пайтида,Туғруқ даврида,Эрта чилла даврида,Кеч чилла даврида,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Биринчи туғувчи 23 ёшли аёл уйда эклампсия хуружи ўтказгандан кейин туғруқхонага келтирилди. ҳомиладорлик муддати 37-38-ҳафта, ахволи оғир. А/Б-150/100 мм сим. уст. Рs-98 та. оёқлар ниҳоятда шишган, онг хиралашган (заторможение сознания). Шифокор тактикаси:",Комплекс интенсив даво фонида кесар кесиш оператив йўли билан туғруқ қабул қилиш,даволаш фонида ҳомиладорликни давом эттириш,2-3 кун давомида комплекс интенсив даво ўтказиш,Комплекс интенсив даво фонида кесар кесиш оператив йўли билан туғруқ қабул қилиш,"туғруқ чақириб, кейин акушерлик қисқичларини қўйиш",Кутиш тактикаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Патологик ҳомиладорлик бўлишига оёқ астлари шишинқираган, пешобида оқсил, А/Б 160/100 мм.сим.уст. бўлган; уйқу бузилиши, эпигастрийдаги оғриқлар, бош оғриғига шикоят қилиб, 30 ёшли биринчи туғувчи аёл келтирилди. Сизнинг ташҳизингиз:",оғир преэклампсия,сурункали гипертензия,енгил преэклампсия,оғир преэклампсия,эклампсия,кўрсатилганларнинг ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Биринчи ҳомиладорлик билан 36 ёшли аёл патологик ҳомиладорлик бўлимида ётипти. ҳомиладорлик муддати 34 ҳафта, гипертоник касалликнинг 2А босқичи. А/Б 160/100 мм.сим.уст. УЗД текширувида ҳомила ривожланишининг ортда қолиши синдроми аниқланди. Шу ҳолатда мумкин бўлган асоратлар:",барча келтирилганлар,гипертоник криз ривожланиши,плацентанинг вақтидан илгари кўчиши,ҳомила ўлими,Эклампсия хуружи,барча келтирилганлар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Қайси препаратлар гормонал контрацепция усуллурига киради:,"Регивидон, тризистон","Регивидон, тризистон","Гидрокортизон, дюфастон","Ретаболил, норколут","Омнадрен, сустанон","Кломифен, профази",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гормонал контрацепцияга қайси препарат кимайди:,Дюфастон,Дюфастон,Регивидон,Новинет,Логест,Микрогинон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Синтетик прогестинлар қандай буюрилади,Циклнинг 5 кунидан то 26 кунигача,Циклнинг 5 кунидан то 26 кунигача,Циклнинг 1 кунидан то 21 кунигача,Циклнинг 5 кунидан то 29 кунигача,Циклнинг 1 кунидан то 27 кунигача,Циклнинг 3 кунидан то 25 кунигача,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Синтетик прогестинлар ишлатилганда кўпинча қандай асоратлар юзага келади:,"Бош оғриғи, бош айланиши, кўнгил айниши, таъсирчанлик","Бош оғриғи, бош айланиши, кўнгил айниши, таъсирчанлик","Тахикардия, либидонинг сусайиши","Қичишиш, эпигастрал оғриқлар","Петехиал тошма, гепатомегалия","Ич қотиши, тромбоэмболик асоратлар",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БИВси ишлатилишининг максимал муддати,10 йил,10 йил,5 йил,1-2 йил,7йил,3 йил,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БИВси мениструал циклнинг қайси кунларида киритилад и,1-7 кун,1-7 кун,5-10 кун,10-12 кун,13-14 кун,20-25 кун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БИВси қўйиш учун абсолют қарши кўрсатмага қуйидагидан ташқари киради:,гениталийларнинг ўткир ва ўткир ости яллиғланиши,гениталийларнинг ўткир ва ўткир ости яллиғланиши,сурункали пиелонефрит,ўпка сили,юрак ҳасталиклари,Бронхиал астма,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Орал контрацепциянинг уруғланишга қарши эффекти қуйидаги билан боғлиқ:,"Овуляция томозланиши, гипоталамо-гипофизар системага таъсири билан","Овуляция томозланиши, гипоталамо-гипофизар системага таъсири билан",Буйрак усти безларига таъсири билан,Эндометрийга таъсири билан,Тухумдон фолликулаларига таъсири билан,Бачадон найларига таъсири билан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Контрацепциянинг қайси усуллари оз натижали :,Барьер ва химиявий усули,Барьер ва химиявий усули,БИВ,Орал контрацептивлар,Хирургик,БИВ ва орал контрацептивлар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Орал котрацептивлар фонида ҳомиладорлик юз берса нима қилиш лозим,Ҳомиладорликни давом эттириш,Ҳомиладорликни давом эттириш,Ҳомиладорликни тўхтатиш,Препаратлар қабул қилишни давом эттириш,Препаратлар қабул қилишни тўхтатиш,Ҳомиладорликни сақловчи давони бошлаш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оравл котрацептивларни қанча танаффус билан қабул қилиш лозим,танаффуссиз,танаффуссиз,ҳар 6 ой,ҳар 3 ой,ҳар 1 ой,ҳар 1 йил,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Менструал циклнинг фолликуляр фазасидаги эстроген гормонларнинг ролини кўрсатинг, қуйидагидан ташқари:",эндометрийнинг секретор трансформациясини чақиради,эндометрийнинг секретор трансформациясини чақиради,бачадонда қисқартирувчи мушак оқсилини ҳосил бўлишини кучайиши,"гликоген ва фосфор бирикмалари миқдорини ортиши,",бачадон тонусини ортиши,сут безлари чиқувчи йўлларининг пролиферацияси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
